matlab_param,matlab_index,yaml_rate_key,reaction,scaling_group,value_at_published_pvec,reactants,products
k5_2r,6,krvs_Z_dehyd,C14_FabZ_dehydration,c4,2376.25450763,C14_FabZ_EnAcACP,C14_FabZ_BHyAcACP
k5_2r,6,krvs_Z_dehyd,C14_FabZ_dehydration_unsat,c4,2376.25450763,C14_FabZ_EnAcACP_unsat,C14_FabZ_BHyAcACP_unsat
k5_2r,7,krvs_Z_dehyd,C16_FabZ_dehydration,c4,2376.25450763,C16_FabZ_EnAcACP,C16_FabZ_BHyAcACP
k5_2r,7,krvs_Z_dehyd,C16_FabZ_dehydration_unsat,c4,2376.25450763,C16_FabZ_EnAcACP_unsat,C16_FabZ_BHyAcACP_unsat
k5_2r,8,krvs_Z_dehyd,C18_FabZ_dehydration,c4,2376.25450763,C18_FabZ_EnAcACP,C18_FabZ_BHyAcACP
k5_2r,8,krvs_Z_dehyd,C18_FabZ_dehydration_unsat,c4,2376.25450763,C18_FabZ_EnAcACP_unsat,C18_FabZ_BHyAcACP_unsat
k5_2r,9,krvs_Z_dehyd,C20_FabZ_dehydration,c4,2376.25450763,C20_FabZ_EnAcACP,C20_FabZ_BHyAcACP
k5_2r,9,krvs_Z_dehyd,C20_FabZ_dehydration_unsat,c4,2376.25450763,C20_FabZ_EnAcACP_unsat,C20_FabZ_BHyAcACP_unsat
k5_3f,1,koff_Z_EnAcACP,C4_FabZ_release_EnAcACP,a2,164.8695889904,C4_FabZ_EnAcACP,C4_EnAcACP
k5_3f,2,koff_Z_EnAcACP,C6_FabZ_release_EnAcACP,a2,164.8695889904,C6_FabZ_EnAcACP,C6_EnAcACP
k5_3f,3,koff_Z_EnAcACP,C8_FabZ_release_EnAcACP,a2,164.8695889904,C8_FabZ_EnAcACP,C8_EnAcACP
k5_3f,4,koff_Z_EnAcACP,C10_FabZ_release_EnAcACP,a2,164.8695889904,C10_FabZ_EnAcACP,C10_EnAcACP
k5_3f,5,koff_Z_EnAcACP,C12_FabZ_release_EnAcACP,a2,164.8695889904,C12_FabZ_EnAcACP,C12_EnAcACP
k5_3f,5,koff_Z_EnAcACP,C12_FabZ_release_EnAcACP_unsat,a2,164.8695889904,C12_FabZ_EnAcACP_unsat,C12_EnAcACP_unsat
k5_3f,6,koff_Z_EnAcACP,C14_FabZ_release_EnAcACP,a2,164.8695889904,C14_FabZ_EnAcACP,C14_EnAcACP
k5_3f,6,koff_Z_EnAcACP,C14_FabZ_release_EnAcACP_unsat,a2,164.8695889904,C14_FabZ_EnAcACP_unsat,C14_EnAcACP_unsat
k5_3f,7,koff_Z_EnAcACP,C16_FabZ_release_EnAcACP,a2,164.8695889904,C16_FabZ_EnAcACP,C16_EnAcACP
k5_3f,7,koff_Z_EnAcACP,C16_FabZ_release_EnAcACP_unsat,a2,164.8695889904,C16_FabZ_EnAcACP_unsat,C16_EnAcACP_unsat
k5_3f,8,koff_Z_EnAcACP,C18_FabZ_release_EnAcACP,a2,164.8695889904,C18_FabZ_EnAcACP,C18_EnAcACP
k5_3f,8,koff_Z_EnAcACP,C18_FabZ_release_EnAcACP_unsat,a2,164.8695889904,C18_FabZ_EnAcACP_unsat,C18_EnAcACP_unsat
k5_3f,9,koff_Z_EnAcACP,C20_FabZ_release_EnAcACP,a2,164.8695889904,C20_FabZ_EnAcACP,C20_EnAcACP
k5_3f,9,koff_Z_EnAcACP,C20_FabZ_release_EnAcACP_unsat,a2,164.8695889904,C20_FabZ_EnAcACP_unsat,C20_EnAcACP_unsat
k5_3r,1,C4_kon_Z_EnAcACP,C4_FabZ_release_EnAcACP,,1.3807828077945998,C4_EnAcACP + FabZ,C4_FabZ_EnAcACP
k5_3r,2,C6_kon_Z_EnAcACP,C6_FabZ_release_EnAcACP,,2.9440998034,C6_EnAcACP + FabZ,C6_FabZ_EnAcACP
k5_3r,3,C8_kon_Z_EnAcACP,C8_FabZ_release_EnAcACP,,0.8714535418063999,C8_EnAcACP + FabZ,C8_FabZ_EnAcACP
k5_3r,4,C10_kon_Z_EnAcACP,C10_FabZ_release_EnAcACP,,1.0952051268648,C10_EnAcACP + FabZ,C10_FabZ_EnAcACP
k5_3r,5,C12_kon_Z_EnAcACP,C12_FabZ_release_EnAcACP,,0.58881996068,C12_EnAcACP + FabZ,C12_FabZ_EnAcACP
k5_3r,5,C12_kon_Z_EnAcACP,C12_FabZ_release_EnAcACP_unsat,,0.58881996068,C12_EnAcACP_unsat + FabZ,C12_FabZ_EnAcACP_unsat
